Date,Open,High,Low,Close,Adj Close,Volume
1993-01-04,0.53125,0.535714,0.515625,0.520089,0.423491,129136000
1993-01-05,0.517857,0.529018,0.511161,0.529018,0.430761,186256000
1993-01-06,0.542411,0.553571,0.540179,0.551339,0.448937,281400000
1993-01-07,0.551339,0.558036,0.541295,0.544643,0.443484,272137600
1993-01-08,0.542411,0.5625,0.533482,0.555804,0.452572,320936000
1993-01-11,0.553571,0.574777,0.551339,0.572545,0.466204,273728000
1993-01-12,0.560268,0.569196,0.549107,0.549107,0.447119,346158400
1993-01-13,0.549107,0.571429,0.546875,0.566964,0.46166,199640000
1993-01-14,0.571429,0.582589,0.569196,0.580357,0.472565,367808000
1993-01-15,0.544643,0.555804,0.535714,0.537946,0.438031,902630400
1993-01-18,0.53125,0.535714,0.517857,0.53125,0.432579,333636800
1993-01-19,0.533482,0.540179,0.529018,0.533482,0.434396,274041600
1993-01-20,0.533482,0.537946,0.53125,0.535714,0.436214,158737600
1993-01-21,0.533482,0.537946,0.524554,0.535714,0.436214,184419200
1993-01-22,0.537946,0.537946,0.526786,0.53125,0.432579,146944000
1993-01-25,0.529018,0.540179,0.529018,0.535714,0.436214,202272000
1993-01-26,0.540179,0.553571,0.540179,0.542411,0.441667,285622400
1993-01-27,0.544643,0.551339,0.524554,0.537946,0.438031,226620800
1993-01-28,0.535714,0.537946,0.529018,0.534598,0.435305,184038400
1993-01-29,0.537946,0.546875,0.526786,0.53125,0.432579,266100800
1993-02-01,0.529018,0.546875,0.529018,0.546875,0.445302,240553600
1993-02-02,0.542411,0.549107,0.537946,0.537946,0.438031,182336000
1993-02-03,0.544643,0.544643,0.522321,0.535714,0.436214,264185600
1993-02-04,0.535714,0.537946,0.526786,0.53125,0.432579,208152000
1993-02-05,0.529018,0.53125,0.502232,0.511161,0.416221,367617600
1993-02-08,0.508929,0.513393,0.495536,0.504464,0.410768,281075200
1993-02-09,0.508929,0.512277,0.504464,0.507813,0.413495,238660800
1993-02-10,0.508929,0.511161,0.491071,0.497768,0.405316,268284800
1993-02-11,0.497768,0.502232,0.491071,0.492188,0.400772,168268800
1993-02-12,0.491071,0.495536,0.479911,0.481027,0.392538,275396800
1993-02-16,0.477679,0.477679,0.459821,0.473214,0.386162,407736000
1993-02-17,0.475446,0.482143,0.464286,0.481027,0.392538,249580800
1993-02-18,0.491071,0.493304,0.477679,0.491071,0.400734,280123200
1993-02-19,0.493304,0.495536,0.488839,0.491071,0.400734,177800000
1993-02-22,0.491071,0.5,0.488839,0.492188,0.401646,98761600
1993-02-23,0.491071,0.493304,0.482143,0.484375,0.39527,194073600
1993-02-24,0.465402,0.481027,0.465402,0.478795,0.390717,286563200
1993-02-25,0.475446,0.488839,0.475446,0.488839,0.398913,167227200
1993-02-26,0.484375,0.484375,0.466518,0.473214,0.386162,294884800
1993-03-01,0.473214,0.477679,0.470982,0.475446,0.387984,119302400
1993-03-02,0.473214,0.486607,0.473214,0.484375,0.39527,147694400
1993-03-03,0.482143,0.491071,0.475446,0.487723,0.398002,202697600
1993-03-04,0.486607,0.493304,0.477679,0.491071,0.400734,188339200
1993-03-05,0.488839,0.497768,0.488839,0.491071,0.400734,111619200
1993-03-08,0.491071,0.506696,0.491071,0.504464,0.411664,177004800
1993-03-09,0.504464,0.513393,0.504464,0.506696,0.413485,154828800
1993-03-10,0.506696,0.511161,0.5,0.506696,0.413485,132496000
1993-03-11,0.508929,0.511161,0.502232,0.507813,0.414396,144614400
1993-03-12,0.506696,0.506696,0.495536,0.502232,0.409842,126694400
1993-03-15,0.5,0.511161,0.49442,0.508929,0.415307,136035200
1993-03-16,0.511161,0.515625,0.504464,0.504464,0.411664,101281600
1993-03-17,0.504464,0.508929,0.491071,0.492188,0.401646,176220800
1993-03-18,0.491071,0.496652,0.486607,0.486607,0.397092,106187200
1993-03-19,0.491071,0.493304,0.477679,0.479911,0.391627,154100800
1993-03-22,0.477679,0.481027,0.470982,0.475446,0.387984,165200000
1993-03-23,0.475446,0.482143,0.469866,0.470982,0.384341,102536000
1993-03-24,0.470982,0.484375,0.46875,0.479911,0.391627,143068800
1993-03-25,0.479911,0.488839,0.477679,0.488839,0.398913,171046400
1993-03-26,0.488839,0.488839,0.46875,0.475446,0.387984,151760000
1993-03-29,0.466518,0.46875,0.453125,0.455357,0.37159,261710400
1993-03-30,0.456473,0.466518,0.448661,0.466518,0.380698,264051200
1993-03-31,0.46875,0.470982,0.457589,0.459821,0.375233,223036800
1993-04-01,0.457589,0.464286,0.455357,0.462054,0.377055,108203200
1993-04-02,0.450893,0.457589,0.441964,0.447545,0.365215,253792000
1993-04-05,0.446429,0.450893,0.441964,0.446429,0.364305,149172800
1993-04-06,0.446429,0.448661,0.435268,0.435268,0.355197,168369600
1993-04-07,0.4375,0.453125,0.433036,0.450893,0.367947,162848000
1993-04-08,0.446429,0.450893,0.4375,0.444196,0.362482,163430400
1993-04-12,0.441964,0.455357,0.441964,0.446429,0.364305,93049600
1993-04-13,0.450893,0.457589,0.430804,0.433036,0.353375,164483200
1993-04-14,0.430804,0.435268,0.425223,0.435268,0.355197,170060800
1993-04-15,0.430804,0.430804,0.417411,0.421875,0.344268,218702400
1993-04-16,0.430804,0.435268,0.422991,0.429688,0.350643,686795200
1993-04-19,0.433036,0.441964,0.430804,0.433036,0.353375,227864000
1993-04-20,0.435268,0.448661,0.430804,0.446429,0.364305,240049600
1993-04-21,0.448661,0.453125,0.439732,0.44308,0.361572,205273600
1993-04-22,0.439732,0.450893,0.4375,0.446429,0.364305,157673600
1993-04-23,0.444196,0.448661,0.435268,0.439732,0.35884,134142400
1993-04-26,0.439732,0.444196,0.433036,0.4375,0.357018,102804800
1993-04-27,0.435268,0.448661,0.435268,0.448661,0.366126,129673600
1993-04-28,0.444196,0.464286,0.444196,0.458705,0.374322,163240000
1993-04-29,0.459821,0.462054,0.447545,0.453125,0.369769,82443200
1993-04-30,0.453125,0.46875,0.453125,0.457589,0.373412,132339200
1993-05-03,0.457589,0.464286,0.455357,0.46317,0.377966,65184000
1993-05-04,0.466518,0.484375,0.464286,0.476563,0.388895,170822400
1993-05-05,0.473214,0.495536,0.473214,0.486607,0.397092,253064000
1993-05-06,0.486607,0.488839,0.477679,0.479911,0.391627,70459200
1993-05-07,0.477679,0.488839,0.477679,0.488839,0.398913,81894400
1993-05-10,0.491071,0.498884,0.491071,0.491071,0.400734,137928000
1993-05-11,0.491071,0.493304,0.482143,0.486607,0.397092,158379200
1993-05-12,0.484375,0.488839,0.473214,0.475446,0.387984,105224000
1993-05-13,0.477679,0.497768,0.477679,0.495536,0.404378,361726400
1993-05-14,0.493304,0.5,0.491071,0.495536,0.404378,117409600
1993-05-17,0.495536,0.5,0.491071,0.497768,0.406199,69641600
1993-05-18,0.495536,0.502232,0.491071,0.495536,0.404378,163475200
1993-05-19,0.488839,0.513393,0.486607,0.511161,0.417129,172771200
1993-05-20,0.511161,0.526786,0.511161,0.524554,0.428058,290528000
1993-05-21,0.524554,0.527902,0.506696,0.513393,0.41895,148198400
1993-05-24,0.506696,0.524554,0.506696,0.514509,0.419861,150315200
1993-05-25,0.506696,0.513393,0.497768,0.503348,0.410753,180723200
1993-05-26,0.5,0.515625,0.49442,0.515625,0.420771,121564800
1993-05-27,0.515625,0.522321,0.511161,0.513393,0.41895,197288000
1993-05-28,0.508929,0.513393,0.502232,0.50558,0.413437,183948800
1993-06-01,0.504464,0.515625,0.504464,0.508929,0.416176,135072000
1993-06-02,0.506696,0.520089,0.5,0.508929,0.416176,200480000
1993-06-03,0.508929,0.511161,0.5,0.503348,0.411612,156856000
1993-06-04,0.497768,0.502232,0.486607,0.489955,0.40066,213684800
1993-06-07,0.486607,0.488839,0.449777,0.453125,0.370542,482305600
1993-06-08,0.435268,0.446429,0.428571,0.441964,0.361415,621096000
1993-06-09,0.401786,0.407366,0.392857,0.395089,0.323083,1178419200
1993-06-10,0.388393,0.399554,0.381696,0.397321,0.324908,553705600
1993-06-11,0.401786,0.404018,0.387277,0.390625,0.319433,242323200
1993-06-14,0.392857,0.399554,0.388393,0.398438,0.325822,249491200
1993-06-15,0.404018,0.404018,0.373884,0.375,0.306655,448324800
1993-06-16,0.377232,0.386161,0.370536,0.377232,0.30848,353080000
1993-06-17,0.379464,0.379464,0.361607,0.368304,0.30118,409438400
1993-06-18,0.371652,0.376116,0.354911,0.366071,0.299354,311292800
1993-06-21,0.361607,0.361607,0.352679,0.353795,0.289315,273582400
1993-06-22,0.364955,0.375,0.354911,0.36942,0.302092,336380800
1993-06-23,0.372768,0.372768,0.357143,0.361607,0.295703,180723200
1993-06-24,0.361607,0.372768,0.357143,0.372768,0.30483,222835200
1993-06-25,0.360491,0.363839,0.352679,0.357143,0.292053,257163200
1993-06-28,0.361607,0.361607,0.345982,0.358259,0.292965,353617600
1993-06-29,0.359375,0.359375,0.34375,0.348214,0.284751,294268800
1993-06-30,0.345982,0.354911,0.34375,0.352679,0.288402,200256000
1993-07-01,0.348214,0.354911,0.339286,0.339286,0.27745,218164800
1993-07-02,0.341518,0.345982,0.337054,0.34375,0.281101,191632000
1993-07-06,0.341518,0.348214,0.334821,0.337054,0.275625,155254400
1993-07-07,0.334821,0.33817,0.323661,0.325893,0.266498,227035200
1993-07-08,0.325893,0.334821,0.323661,0.325893,0.266498,138969600
1993-07-09,0.330357,0.332589,0.325893,0.328125,0.268323,156878400
